,T,TM,Tm,SLP,H,PP,VV,V,VM,PM2.5,Date
79,22.4,32.5,14.5,1007,68,0,2.1,5.4,11,192,2014-03-21
80,24.8,32.4,17.2,1007,64,0,1.8,3.0,7,197,2014-03-22
81,23.2,27.6,17.6,1010,65,0,1.0,10.4,18,239,2014-03-23
82,22.7,29.2,19.0,1011,76,0,1.9,9.8,22,302,2014-03-24
83,24.6,32.7,16.5,1010,64,0,1.8,2.8,11,319,2014-03-25
84,25.2,32.7,19.1,1010,64,0,1.9,2.8,11,324,2014-03-26
85,23.4,29.1,19.6,1011,69,2,1.9,4.8,9,266,2014-03-27
86,24.6,33.1,18.6,1011,71,2,1.4,4.4,11,209,2014-03-28
87,25.8,31.7,19.0,1011,61,0,1.8,8.3,16,219,2014-03-29
88,24.3,30.7,17.5,1010,52,0,1.8,13.9,31,237,2014-03-30
89,24.2,30.8,17.0,1008,48,0,1.9,13.1,22,234,2014-03-31
90,24.9,33.2,16.8,1006,49,0,2.6,9.6,25,227,2014-04-01
91,26.8,35.2,17.7,1005,50,0,1.9,7.2,14,263,2014-04-02
92,25.1,35.2,18.0,1010,53,0,2.1,10.4,25,256,2014-04-03
93,25.7,32.2,17.8,1010,51,0,1.9,10.6,20,213,2014-04-04
94,27.4,35.1,19.6,1008,50,0,2.6,9.3,18,160,2014-04-05
95,30.1,38.0,20.0,1007,49,0,2.6,6.7,18,153,2014-04-06
96,27.2,38.0,21.0,1009,55,0,1.9,13.0,18,165,2014-04-07
97,25.8,32.2,19.5,1010,49,0,2.6,12.6,18,182,2014-04-08
98,25.7,32.8,17.5,1010,41,0,2.6,12.8,25,186,2014-04-09
99,26.3,33.5,17.9,1010,36,0,2.6,12.4,29,212,2014-04-10
100,28.0,35.6,17.0,1008,34,0,2.9,10.0,25,207,2014-04-11
101,29.1,37.2,18.9,1006,46,0,1.9,5.2,11,178,2014-04-12
102,27.0,37.2,22.6,1009,49,0,1.9,15.6,27,193,2014-04-13
103,27.7,34.5,21.5,1010,55,0,1.9,5.2,13,161,2014-04-14
104,29.1,36.5,20.5,1009,53,0,1.8,2.6,11,164,2014-04-15
105,26.9,34.2,19.8,1008,59,2,1.8,4.4,7,183,2014-04-16
106,26.5,34.2,20.2,1006,57,0,1.9,9.3,22,187,2014-04-17
107,24.9,31.6,18.5,1011,68,7,2.3,11.1,18,179,2014-04-18
108,25.6,32.3,20.0,1011,64,0,1.9,5.0,14,176,2014-04-19
109,26.8,33.6,19.2,1010,53,0,1.6,4.6,11,190,2014-04-20
110,28.1,35.8,18.6,1010,40,0,1.9,8.7,16,195,2014-04-21
111,29.5,36.0,20.4,1011,37,0,2.7,12.4,27,138,2014-04-22
112,29.0,36.0,21.6,1008,44,0,2.3,6.1,16,97,2014-04-23
113,29.4,37.2,21.2,1006,42,0,2.6,8.0,22,104,2014-04-24
114,30.5,38.8,20.6,1006,41,0,2.4,8.1,22,108,2014-04-25
115,31.5,38.8,22.1,1006,39,0,2.4,8.1,16,110,2014-04-26
116,30.6,38.7,21.5,1007,36,0,1.9,8.3,18,130,2014-04-27
117,31.4,39.5,21.0,1005,34,0,1.9,10.2,27,153,2014-04-28
118,32.2,41.0,22.6,1003,34,0,2.6,8.3,25,155,2014-04-29
119,33.4,42.1,22.8,1003,32,0,2.6,5.2,16,179,2014-04-30
120,34.8,42.8,24.2,1001,30,0,2.3,9.6,18,194,2014-05-01
121,34.5,41.7,26.2,1001,33,0,1.9,6.5,11,206,2014-05-02
122,31.8,41.7,26.2,1003,43,0,1.9,7.4,18,207,2014-05-03
123,31.9,39.7,21.6,1003,40,0,1.9,5.9,9,206,2014-05-04
124,30.0,39.7,25.6,1006,56,14,2.3,10.2,14,234,2014-05-05
125,30.2,35.8,23.1,1006,57,0,1.9,7.0,14,217,2014-05-06
126,31.8,38.6,24.2,1004,54,0,1.9,1.9,7,164,2014-05-07
127,32.2,39.5,25.2,1002,45,0,1.6,9.3,16,150,2014-05-08
128,30.7,39.5,21.4,1000,43,6,1.6,6.5,14,150,2014-05-09
129,30.1,37.6,23.0,1000,45,0,1.9,7.8,20,158,2014-05-10
130,30.1,35.2,25.0,1003,49,0,1.9,7.2,13,166,2014-05-11
131,28.2,35.3,24.2,1005,60,0,8.9,10.9,27,169,2014-05-12
132,25.2,30.6,18.0,1008,71,9,2.6,10.0,20,169,2014-05-13
133,26.9,32.1,19.0,1006,62,4,1.8,8.5,18,174,2014-05-14
134,29.7,35.4,23.0,1004,48,0,1.8,11.1,16,172,2014-05-15
135,31.1,36.7,25.0,1003,46,0,2.6,9.4,22,239,2014-05-16
136,30.0,36.9,24.1,1007,54,0,2.6,7.2,18,263,2014-05-17
137,32.4,39.1,24.4,1006,39,0,1.9,14.8,27,180,2014-05-18
138,32.3,39.1,24.0,1006,36,0,2.3,11.7,24,154,2014-05-19
139,31.9,38.8,26.5,1006,39,0,2.3,8.7,22,164,2014-05-20
140,32.8,38.6,24.8,1002,40,0,1.9,9.6,18,172,2014-05-21
141,33.3,40.6,24.2,999,39,0,2.6,11.1,27,180,2014-05-22
142,34.5,43.6,25.8,1000,39,0,2.3,19.4,29,178,2014-05-23
143,31.6,43.6,25.5,1004,55,2,2.6,6.7,14,169,2014-05-24
144,32.4,40.6,23.2,1005,45,8,2.7,8.9,14,179,2014-05-25
145,30.0,36.4,21.4,1007,60,12,2.6,4.1,14,149,2014-05-26
146,31.8,38.8,24.0,1004,54,0,1.9,2.6,7,136,2014-05-27
147,33.6,40.6,25.6,1001,47,0,2.6,3.9,13,152,2014-05-28
148,35.3,43.7,26.3,999,43,0,2.7,4.4,11,164,2014-05-29
149,33.9,43.7,29.1,999,48,0,1.8,7.8,14,173,2014-05-30
150,34.6,42.8,25.0,999,46,0,1.8,6.3,18,168,2014-05-31
151,32.9,41.6,25.6,1003,44,0,2.9,17.4,55,156,2014-06-01
152,32.8,39.9,25.0,1003,48,0,2.6,4.6,14,155,2014-06-02
153,34.8,41.7,26.5,1000,40,0,2.6,6.5,14,169,2014-06-03
154,35.3,43.4,26.0,998,39,0,1.8,7.2,16,148,2014-06-04
155,36.9,44.7,27.7,996,34,0,2.6,8.5,14,119,2014-06-05
156,37.4,45.0,29.4,995,36,0,2.3,10.2,18,122,2014-06-06
157,38.5,44.9,30.8,994,31,0,1.9,13.1,29,115,2014-06-07
158,37.8,45.1,28.6,993,34,0,1.9,6.7,18,130,2014-06-08
159,37.9,45.5,30.1,993,38,0,1.9,5.9,16,151,2014-06-09
160,37.3,45.5,28.1,994,28,0,1.9,12.0,24,151,2014-06-10
161,37.5,43.6,31.2,995,31,0,2.3,14.8,27,157,2014-06-11
162,33.0,43.6,28.4,997,49,3,1.9,24.3,55,166,2014-06-12
163,30.3,41.1,22.7,997,62,0,2.6,16.7,29,162,2014-06-13
164,30.5,37.1,25.5,997,73,3,2.6,6.5,22,135,2014-06-14
165,33.9,40.6,28.0,997,59,0,2.1,8.1,25,136,2014-06-15
166,36.4,41.2,30.6,995,50,0,2.7,10.9,20,175,2014-06-16
167,36.8,43.3,31.2,994,48,0,2.6,15.9,25,183,2014-06-17
168,34.4,43.3,29.2,994,61,0,1.9,10.9,24,182,2014-06-18
169,35.6,41.4,28.4,993,55,4,1.9,10.9,18,158,2014-06-19
170,37.9,43.0,31.0,991,44,0,2.3,17.8,25,138,2014-06-20
171,36.9,41.7,32.7,994,49,0,1.9,9.8,24,118,2014-06-21
172,34.5,41.7,30.3,996,55,0,1.9,4.4,11,138,2014-06-22
173,32.7,38.8,29.4,995,56,3,1.9,6.3,14,185,2014-06-23
174,33.1,39.0,26.5,995,54,0,2.3,10.2,22,192,2014-06-24
175,33.3,39.0,25.3,997,56,0,1.9,9.8,16,172,2014-06-25
176,32.4,38.1,23.5,1000,66,25,1.9,3.3,7,145,2014-06-26
177,34.7,39.9,28.8,1001,55,0,1.9,9.4,22,150,2014-06-27
178,34.7,39.9,29.0,999,57,0,1.9,5.9,11,186,2014-06-28
179,33.1,39.7,26.0,997,63,-1,1.9,9.6,25,183,2014-06-29
180,32.2,39.7,25.2,997,72,5,1.9,3.1,11,175,2014-06-30
181,31.2,35.2,27.0,1000,71,0,1.9,6.3,11,164,2014-07-01
182,29.5,36.6,25.5,1000,76,0,1.8,5.7,14,166,2014-07-02
183,28.9,36.6,26.1,998,80,4,1.9,5.2,14,180,2014-07-03
184,32.5,36.8,26.0,996,68,7,1.8,4.1,14,183,2014-07-04
185,34.0,38.6,29.0,998,60,0,1.9,4.6,18,187,2014-07-05
186,30.8,38.6,28.4,1000,66,0,1.9,4.3,20,189,2014-07-06
187,34.0,38.8,26.8,998,55,1,1.9,5.6,14,172,2014-07-07
188,34.9,40.3,28.6,996,48,0,1.9,9.6,25,167,2014-07-08
189,35.9,40.5,29.6,996,46,0,1.9,13.7,27,144,2014-07-09
190,36.0,41.3,30.0,996,46,0,1.9,11.3,27,128,2014-07-10
191,36.7,42.0,30.1,996,45,0,2.7,8.9,22,148,2014-07-11
192,36.4,42.3,30.5,996,54,0,1.9,4.3,9,150,2014-07-12
193,33.3,42.3,29.2,997,69,0,1.9,5.2,9,167,2014-07-13
194,32.4,40.2,25.9,997,74,25,1.9,6.7,14,153,2014-07-14
195,33.2,39.0,28.5,996,68,0,1.9,8.9,11,246,2014-07-15
196,32.6,39.0,27.9,997,70,0,1.9,10.4,13,195,2014-07-16
197,30.8,36.8,26.4,995,77,40,1.9,6.7,14,185,2014-07-17
198,27.3,36.8,24.6,994,88,3,1.9,2.6,11,163,2014-07-18
199,29.8,33.6,25.4,995,76,0,1.9,6.3,18,161,2014-07-19
200,30.8,34.6,26.5,996,74,0,1.9,6.3,14,163,2014-07-20
201,32.1,35.8,27.2,996,71,0,1.9,4.6,9,155,2014-07-21
202,31.7,36.3,29.4,997,75,3,1.9,7.2,29,148,2014-07-22
203,30.7,34.1,28.2,997,77,0,1.9,8.1,16,152,2014-07-23
204,30.7,34.0,27.0,998,70,0,1.9,12.0,20,186,2014-07-24
205,30.7,33.9,26.5,1000,70,0,1.9,10.0,14,168,2014-07-25
206,32.5,37.5,27.6,1001,67,0,1.9,7.2,18,162,2014-07-26
207,31.7,37.5,28.1,1002,71,0,1.9,2.4,33,174,2014-07-27
208,30.2,37.4,27.7,999,80,3,1.6,4.3,14,175,2014-07-28
209,30.3,34.9,25.8,999,76,0,1.9,5.7,11,131,2014-07-29
210,31.9,36.5,26.6,999,72,0,1.9,4.1,11,125,2014-07-30
211,32.5,36.5,28.2,999,71,0,1.9,7.8,16,139,2014-07-31
212,33.3,37.7,28.1,998,66,0,1.9,6.5,9,148,2014-08-01
213,30.3,35.3,28.4,996,81,38,1.9,0.9,7,157,2014-08-02
214,31.4,36.6,27.0,995,72,0,1.9,5.7,13,160,2014-08-03
215,30.5,36.6,27.8,996,75,0,1.9,5.2,11,160,2014-08-04
216,29.8,35.4,26.8,997,82,0,1.4,1.9,11,159,2014-08-05
217,32.6,35.5,30.0,996,67,0,1.9,7.4,9,111,2014-08-06
218,31.0,34.0,29.0,996,71,0,1.9,5.6,16,106,2014-08-07
219,30.9,35.0,27.6,998,73,0,1.9,5.9,14,111,2014-08-08
220,30.9,35.4,27.0,1000,75,0,1.9,4.8,16,102,2014-08-09
221,28.8,32.5,27.6,1000,88,76,1.9,3.5,13,94,2014-08-10
222,31.0,36.0,25.0,999,76,-1,1.6,3.0,7,107,2014-08-11
223,32.1,36.6,27.6,998,65,0,1.9,8.3,13,158,2014-08-12
224,32.0,36.6,27.0,998,63,0,2.3,20.7,27,177,2014-08-13
225,30.5,36.2,25.4,997,65,0,2.3,18.5,29,182,2014-08-14
226,31.2,35.7,27.6,999,62,0,1.9,14.6,27,196,2014-08-15
227,30.6,35.2,26.2,1002,67,0,1.9,6.9,18,198,2014-08-16
228,31.3,36.3,25.8,1003,60,0,2.3,7.2,14,202,2014-08-17
229,31.8,36.4,27.0,1005,63,0,1.9,5.6,13,144,2014-08-18
230,33.0,37.0,27.0,1004,59,0,1.9,6.9,16,109,2014-08-19
231,33.3,38.4,28.0,1002,54,0,1.9,8.9,18,132,2014-08-20
232,32.6,38.4,28.0,1001,51,0,1.9,10.9,27,159,2014-08-21
233,32.9,38.1,26.4,1002,54,0,2.3,8.5,22,162,2014-08-22
234,33.1,38.2,27.5,1003,53,0,1.9,9.3,22,163,2014-08-23
235,33.2,38.2,28.0,1003,53,0,2.7,11.3,25,168,2014-08-24
236,33.7,39.1,27.5,1002,53,0,2.7,7.8,16,170,2014-08-25
237,34.1,39.4,29.0,1001,49,0,3.1,10.0,18,162,2014-08-26
238,34.1,39.4,27.5,1001,53,0,2.9,8.0,20,154,2014-08-27
239,29.7,38.2,27.2,1003,73,7,2.3,6.7,35,168,2014-08-28
240,30.4,37.2,26.0,1003,75,0,1.9,3.7,14,160,2014-08-29
241,28.7,34.8,23.7,1002,82,9,1.9,4.3,14,137,2014-08-30
242,27.5,34.8,25.0,1001,89,2,1.9,4.3,16,111,2014-08-31
243,29.5,35.3,24.6,1001,71,36,2.3,10.9,48,159,2014-09-01
244,29.4,35.3,26.3,1001,76,0,2.6,10.4,20,134,2014-09-02
245,28.5,33.2,26.0,1001,82,2,1.9,15.0,25,134,2014-09-03
246,27.8,33.2,25.0,1000,85,4,2.1,9.3,20,144,2014-09-04
247,26.6,32.5,24.6,1000,89,12,1.9,8.3,25,129,2014-09-05
248,28.6,32.2,23.6,1002,81,0,1.9,2.0,7,147,2014-09-06
249,30.9,34.7,25.7,1003,73,0,1.9,1.3,5,175,2014-09-07
250,31.2,36.0,26.4,1003,72,0,1.9,3.5,13,165,2014-09-08
251,30.8,36.0,26.8,1002,76,0,1.9,1.9,11,147,2014-09-09
252,28.7,36.0,26.6,1003,82,1,1.9,4.8,13,140,2014-09-10
253,26.5,29.1,25.2,1005,89,14,1.1,3.5,13,150,2014-09-11
254,28.5,33.6,23.0,1005,77,0,1.9,1.7,9,158,2014-09-12
255,29.3,34.1,23.5,1004,73,0,1.8,4.3,11,145,2014-09-13
256,29.0,34.8,24.6,1004,71,0,1.9,6.7,14,136,2014-09-14
257,29.8,34.9,22.5,1004,68,0,2.6,6.7,18,139,2014-09-15
258,30.6,34.9,26.0,1002,70,0,1.9,6.3,20,130,2014-09-16
259,30.6,35.5,25.6,1002,67,0,2.7,7.4,18,117,2014-09-17
260,30.5,35.7,25.2,1003,67,0,1.9,6.7,18,135,2014-09-18
261,31.0,36.3,25.3,1003,62,0,3.1,4.3,14,157,2014-09-19
262,31.0,36.3,26.0,1002,61,0,2.3,4.4,11,151,2014-09-20
263,30.4,36.2,25.2,1003,61,0,2.6,5.6,14,155,2014-09-21
264,30.6,36.0,25.0,1004,57,0,2.6,13.3,29,155,2014-09-22
265,30.8,35.7,26.0,1004,54,0,3.7,11.1,25,265,2014-09-23
266,29.6,36.0,24.4,1006,59,0,2.6,8.1,25,265,2014-09-24
267,30.0,35.8,24.2,1007,58,0,2.6,9.6,18,188,2014-09-25
268,30.1,35.7,24.0,1008,57,0,2.4,5.7,16,190,2014-09-26
269,30.7,36.3,25.4,1009,54,0,3.1,8.9,16,190,2014-09-27
270,30.4,36.3,25.1,1009,55,0,2.7,7.2,14,172,2014-09-28
271,30.4,36.4,24.9,1009,55,0,2.9,7.4,18,177,2014-09-29
272,30.6,37.2,24.0,1009,55,0,2.4,6.7,18,192,2014-09-30
273,31.0,36.9,24.3,1010,54,0,3.1,3.1,11,157,2014-10-01
274,30.3,36.9,24.6,1009,58,0,2.6,2.8,9,143,2014-10-02
275,30.7,37.0,24.4,1008,57,0,2.7,2.0,14,149,2014-10-03
276,31.3,38.0,24.6,1008,55,0,2.1,0.0,-1,149,2014-10-04
277,30.6,37.7,24.2,1010,60,0,2.1,0.0,-1,153,2014-10-05
278,30.8,37.7,24.6,1010,61,0,1.6,0.0,-1,212,2014-10-06
279,30.9,37.2,24.5,1008,65,0,1.6,1.1,5,299,2014-10-07
280,29.6,35.2,24.9,1009,59,0,1.9,3.0,20,299,2014-10-08
281,27.6,34.6,22.2,1010,56,0,2.3,3.3,11,285,2014-10-09
282,27.0,34.6,20.3,1008,62,0,1.9,3.1,14,270,2014-10-10
283,25.7,34.0,19.8,1008,62,0,1.4,4.3,25,109,2014-10-11
284,26.0,33.6,18.2,1008,62,0,1.8,0.4,3,76,2014-10-12
285,27.6,34.5,18.6,1009,66,0,1.8,8.7,14,115,2014-10-13
286,24.4,33.6,21.4,1011,75,2,1.9,5.4,14,258,2014-10-14
287,24.5,30.4,19.6,1014,73,0,2.1,3.1,7,272,2014-10-15
288,23.2,30.6,16.2,1014,62,0,2.6,4.8,18,164,2014-10-16
289,24.9,31.6,15.6,1013,53,0,1.6,3.1,7,105,2014-10-17
290,24.1,31.6,16.5,1012,60,0,1.6,2.6,11,80,2014-10-18
291,23.8,31.5,16.5,1012,61,0,1.4,4.3,11,99,2014-10-19
292,24.7,32.3,16.6,1013,60,0,1.8,4.4,14,114,2014-10-20
293,25.4,33.3,18.0,1014,60,0,1.4,2.0,5,104,2014-10-21
294,25.7,34.3,18.0,1014,67,0,1.1,0.4,3,95,2014-10-22
295,25.3,34.3,18.2,1012,69,0,1.0,0.9,7,98,2014-10-23
296,25.5,33.2,19.0,1011,72,0,1.3,1.9,7,104,2014-10-24
297,25.4,33.1,18.6,1012,71,0,1.0,0.9,3,103,2014-10-25
298,25.1,32.3,19.4,1014,69,0,1.4,2.0,9,92,2014-10-26
299,24.9,32.6,19.5,1013,67,0,1.4,1.9,9,93,2014-10-27
300,25.0,32.6,17.9,1011,69,0,1.0,2.6,9,100,2014-10-28
301,24.9,31.7,19.8,1012,70,0,1.1,1.7,13,91,2014-10-29
302,24.0,32.1,17.8,1012,64,0,1.1,1.9,7,81,2014-10-30
303,23.2,32.1,16.0,1013,62,0,1.0,3.7,11,73,2014-10-31
304,22.5,29.3,16.6,1014,57,0,1.3,5.4,11,90,2014-11-01
305,22.7,31.1,15.8,1014,54,0,1.4,7.2,20,111,2014-11-02
306,23.4,31.2,15.0,1013,58,0,1.1,4.1,14,103,2014-11-03
307,23.7,31.8,16.8,1012,60,0,1.4,3.9,13,88,2014-11-04
308,22.8,31.8,17.0,1012,62,0,1.1,4.6,14,80,2014-11-05
309,23.2,30.6,16.4,1011,61,0,1.4,6.3,14,82,2014-11-06
310,23.9,31.7,16.6,1012,69,0,1.0,2.4,11,98,2014-11-07
311,24.0,32.1,17.1,1014,69,0,1.3,1.7,9,163,2014-11-08
312,24.2,31.6,17.2,1015,62,0,1.1,4.3,11,88,2014-11-09
313,21.3,29.5,14.6,1014,57,0,1.3,3.5,9,71,2014-11-10
314,19.1,29.5,11.2,1014,58,0,1.1,2.2,13,78,2014-11-11
315,19.4,28.5,10.9,1015,57,0,0.8,2.2,11,77,2014-11-12
316,18.5,27.6,11.7,1016,56,0,1.3,3.3,11,78,2014-11-13
317,18.3,27.6,9.0,1016,48,0,1.3,7.4,22,95,2014-11-14
318,18.6,27.5,10.6,1014,51,0,1.3,2.8,11,113,2014-11-15
319,18.3,27.6,9.4,1015,51,0,1.8,2.6,11,110,2014-11-16
320,17.6,27.6,9.1,1016,56,0,1.4,2.8,14,136,2014-11-17
321,17.7,28.1,8.6,1017,57,0,1.4,2.0,7,92,2014-11-18
322,17.6,28.8,8.5,1016,59,0,1.3,1.1,9,69,2014-11-19
323,18.4,28.8,11.7,1014,58,0,1.4,3.7,9,67,2014-11-20
324,17.2,27.8,9.8,1014,64,0,1.0,2.0,11,68,2014-11-21
325,17.6,27.6,8.8,1013,61,0,1.4,1.7,7,93,2014-11-22
326,17.0,27.8,8.8,1014,59,0,1.1,1.5,11,113,2014-11-23
327,16.8,27.8,8.5,1015,58,0,1.4,4.3,9,140,2014-11-24
328,16.4,26.6,8.0,1015,57,0,1.3,2.6,14,153,2014-11-25
329,17.4,26.7,9.0,1011,55,0,1.4,6.3,14,132,2014-11-26
330,18.2,29.7,9.1,1011,66,0,1.0,0.0,-1,121,2014-11-27
331,19.4,30.2,10.3,1012,70,0,1.1,0.0,-1,118,2014-11-28
332,20.3,31.0,13.8,1012,70,0,0.8,0.0,-1,120,2014-11-29
333,19.8,30.0,13.5,1014,56,0,1.6,2.6,14,132,2014-11-30
334,20.1,30.0,11.4,1013,47,0,1.8,8.9,22,127,2014-12-01
335,20.1,29.0,13.8,1014,52,0,1.9,7.2,22,118,2014-12-02
336,20.3,28.1,14.0,1013,52,0,1.9,9.3,22,112,2014-12-03
337,19.8,32.5,12.6,1015,55,-1,1.4,3.9,11,111,2014-12-04
338,17.8,27.8,10.0,1017,62,0,1.4,2.6,13,106,2014-12-05
339,18.3,27.5,10.6,1016,54,0,1.9,4.8,11,113,2014-12-06
340,17.2,27.4,10.5,1014,52,0,1.6,4.8,14,141,2014-12-07
341,17.1,26.3,10.2,1015,54,0,1.6,2.8,11,134,2014-12-08
342,15.2,28.9,8.8,1016,70,0,1.3,0.0,-1,93,2014-12-09
343,14.5,28.9,8.6,1017,49,0,2.1,4.6,22,63,2014-12-10
344,13.3,23.8,6.6,1017,56,0,1.4,2.8,13,59,2014-12-11
345,16.7,30.4,5.1,1016,56,0,1.3,0.6,3,71,2014-12-12
346,15.8,22.3,10.4,1016,77,0,1.0,8.9,14,74,2014-12-13
347,15.0,20.8,13.2,1016,93,0,1.1,3.5,9,80,2014-12-14
348,14.2,20.0,10.4,1019,82,12,1.6,1.9,9,75,2014-12-15
